id,system_id,"name","name_en","alt_en","name_lat","mesh","umls","uri","created_at","updated_at","deleted_at"
19,7,"вена","vein",NULL,"vein","A07.231.908",NULL,NULL,"2020-05-17 10:49:40","2020-05-23 10:20:23",NULL
20,9,"око","eye",NULL,"oculus","MeSH A09.371",NULL,NULL,"2020-05-17 11:06:10","2020-05-23 10:41:03",NULL
21,NULL,"черепномозъчни нерви","cranial nerves",NULL,"nervorum cranialium",NULL,NULL,NULL,"2020-05-17 11:11:59","2020-05-17 11:11:59",NULL
22,1,"млечна жлеза","mammary gland",NULL,"papílla","A01.236.249",NULL,"http://www.wikidata.org/entity/Q66058110","2020-05-17 11:12:49","2020-05-25 11:02:25",NULL
23,NULL,"нервна система","nervous system",NULL,"nervosi",NULL,NULL,NULL,"2020-05-17 11:20:17","2020-05-17 11:20:17",NULL
24,2,"става","joint",NULL,"iuncturam","A02.835.583",NULL,NULL,"2020-05-17 13:47:15","2020-05-23 10:45:16",NULL
25,NULL,"кръвно налягане","blood pressure",NULL,"sanguinem pressura",NULL,NULL,NULL,"2020-05-17 13:51:35","2020-05-17 13:51:35",NULL
26,1,"гърди","breast",NULL,"mamma","A01.236",NULL,"http://www.wikidata.org/entity/Q9103","2020-05-17 14:08:30","2020-05-25 11:02:25",NULL
27,1,"коляно","knee",NULL,"genu","A01.378.610.450",NULL,"http://www.wikidata.org/entity/Q37425","2020-05-17 14:09:39","2020-05-23 10:32:02",NULL
28,1,"ръка","hand",NULL,"manibus","A01.378.800.667",NULL,NULL,"2020-05-17 14:12:04","2020-05-23 10:48:17",NULL
29,1,"крак","leg",NULL,"crus","A01.378.610.500",NULL,NULL,"2020-05-17 14:12:17","2020-05-23 10:35:02",NULL
30,4,"сливица","tonsil",NULL,"tonsilla","A04.623.603.925",NULL,NULL,"2020-05-17 14:13:22","2020-05-23 10:46:01",NULL
31,9,"нос","nose",NULL,"nasus","MeSH A09.53",NULL,NULL,"2020-05-17 14:14:00","2020-05-23 10:40:29",NULL
32,9,"ухо","ear",NULL,"auris","A09.246",NULL,NULL,"2020-05-17 14:14:06","2020-05-23 10:44:08",NULL
33,2,"глезен","ankle",NULL,"tarso","A02.835.583.378.062",NULL,NULL,"2020-05-17 14:15:14","2020-05-23 10:22:05",NULL
34,3,"анус","anus",NULL,"ano est","C06.198.050",NULL,NULL,"2020-05-17 14:20:18","2020-05-23 10:08:57",NULL
35,5,"простата","prostate",NULL,"prostatae","A05.360.444.575",NULL,NULL,"2020-05-17 14:24:52","2020-05-23 10:49:39",NULL
36,7,"пулс","pulse",NULL,NULL,NULL,NULL,NULL,"2020-05-23 17:38:57","2020-05-25 11:52:06",NULL
37,1,"коремна кухина","abdominal cavity",NULL,"cavitas abdominis","A01.047.025","C0230168","http://www.wikidata.org/entity/Q682466","2020-05-25 09:45:08","2020-05-25 09:45:08",NULL
38,1,"перитоний","peritoneum",NULL,"peritoneum","A01.047.025.600","C0031153","http://www.wikidata.org/entity/Q9629","2020-05-25 09:46:52","2020-05-25 11:02:25",NULL
39,1,"опорак","mesentery",NULL,"mesenterium","A01.047.025.600.451",NULL,"http://www.wikidata.org/entity/Q1135563","2020-05-25 09:47:44","2020-05-25 09:48:15",NULL
40,1,"ингвинален канал","Inguinal canal",NULL,"canalis inguinalis","A01.047.412",NULL,"http://www.wikidata.org/entity/Q912422","2020-05-25 09:49:25","2020-05-25 09:49:25",NULL
41,1,"долен крайник","lower limb",NULL,NULL,"A01.378.610",NULL,"http://www.wikidata.org/entity/Q62513663","2020-05-25 09:54:31","2020-05-25 11:02:25",NULL
42,1,"седалище","buttocks",NULL,"nates","A01.378.610.100",NULL,"http://www.wikidata.org/entity/Q42165","2020-05-25 09:55:52","2020-05-25 11:02:25",NULL
43,1,"стъпало","foot",NULL,"pes","A01.378.610.250",NULL,"http://www.wikidata.org/entity/Q15807","2020-05-25 10:02:37","2020-05-25 11:02:25",NULL
44,NULL,"анатомичен регион","anatomical region","organism subdivision","","A01","","http://www.wikidata.org/entity/Q17781690","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
45,1,"ходило","metatarsus","",NULL,"A01.378.610.250.300.480",NULL,"http://www.wikidata.org/entity/Q59626633","2020-05-25 11:04:24","2020-05-25 11:06:18",NULL
46,NULL,"тазобедреница","hip","regio coxae","coxa","A01.378.610.400","","http://www.wikidata.org/entity/Q193818","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
47,NULL,"коляно","knee","","genu","A01.378.610.450","","http://www.wikidata.org/entity/Q37425","2020-05-25 11:04:24","2020-05-25 11:04:24","2020-05-25 11:04:24"
48,1,"подбедрица","lower leg proper","leg proper",NULL,"A01.378.610.500",NULL,"http://www.wikidata.org/entity/Q25652142","2020-05-25 11:04:24","2020-05-25 11:29:28",NULL
49,1,"горен крайник","upper extremity","","membrum superius","A01.378.800","C1140618","http://www.wikidata.org/entity/Q841423","2020-05-25 11:04:24","2020-05-25 11:29:59",NULL
50,1,"горна част на ръката","upper arm","forelimb stylopod","brachium","A01.378.800.075","C0446516","http://www.wikidata.org/entity/Q379859","2020-05-25 11:04:24","2020-05-25 11:30:32",NULL
51,1,"ръка","arm","arms","brachium","A01.378.800.075","C0446516","http://www.wikidata.org/entity/Q43471","2020-05-25 11:04:24","2020-05-25 11:28:55",NULL
52,1,"подмишница","armpit","underarms","axilla","A01.378.800.090",NULL,"http://www.wikidata.org/entity/Q499","2020-05-25 11:04:24","2020-05-25 11:31:00",NULL
53,1,"ръка","forearm",NULL,"antebrachium","A01.378.800.585",NULL,"http://www.wikidata.org/entity/Q228537","2020-05-25 11:04:24","2020-05-25 11:52:34",NULL
54,1,"ръце","hand",NULL,"manus","A01.378.800.667",NULL,"http://www.wikidata.org/entity/Q33767","2020-05-25 11:04:24","2020-05-25 11:52:53",NULL
55,1,"пръст на ръката","finger",NULL,"digiti manus","A01.378.800.667.430",NULL,"http://www.wikidata.org/entity/Q620207","2020-05-25 11:04:24","2020-05-25 11:53:08",NULL
56,1,"палец","thumb",NULL,"digitus primus","A01.378.800.667.430.705",NULL,"http://www.wikidata.org/entity/Q83360","2020-05-25 11:04:24","2020-05-25 11:53:21",NULL
57,1,"кости на китката","metacarpus","",NULL,"A01.378.800.667.572",NULL,"http://www.wikidata.org/entity/Q68001329","2020-05-25 11:04:24","2020-05-25 11:31:31",NULL
58,1,"рамо","shoulder","","cingulum membri superioris","A01.378.800.750",NULL,"http://www.wikidata.org/entity/Q16363","2020-05-25 11:04:24","2020-05-25 11:31:57",NULL
59,1,"глава","head","noddles","caput","A01.456",NULL,"http://www.wikidata.org/entity/Q23640","2020-05-25 11:04:24","2020-05-25 11:32:29",NULL
60,1,"лице","face","","facies","A01.456.505",NULL,"http://www.wikidata.org/entity/Q37017","2020-05-25 11:04:24","2020-05-25 11:32:15",NULL
61,1,"буза","cheek","jowl","bucca","A01.456.505.173",NULL,"http://www.wikidata.org/entity/Q47038","2020-05-25 11:04:24","2020-05-25 11:32:54",NULL
62,1,"брадичка","chin","","mentum","A01.456.505.259",NULL,"http://www.wikidata.org/entity/Q82714","2020-05-25 11:04:24","2020-05-25 11:33:22",NULL
63,1,"око","eye",NULL,"oculus","A01.456.505.420","C0015392","http://www.wikidata.org/entity/Q7364","2020-05-25 11:04:24","2020-05-25 11:34:17",NULL
64,1,"Клепачи","eyelid",NULL,"palpebrae","A01.456.505.420.504","C0015426","http://www.wikidata.org/entity/Q48228","2020-05-25 11:04:24","2020-05-25 11:53:39",NULL
65,1,"чело","forehead",NULL,"sinciput","A01.456.505.580",NULL,"http://www.wikidata.org/entity/Q41055","2020-05-25 11:04:24","2020-05-25 11:34:45",NULL
66,1,"уста","human mouth",NULL,"os","A01.456.505.631",NULL,"http://www.wikidata.org/entity/Q1370895","2020-05-25 11:04:24","2020-05-25 11:35:03",NULL
67,1,"уста","mouth",NULL,"os","A01.456.505.631",NULL,"http://www.wikidata.org/entity/Q9635","2020-05-25 11:04:24","2020-05-25 11:35:31",NULL
68,1,"нос","human nose",NULL,"nasus","A01.456.505.733",NULL,"http://www.wikidata.org/entity/Q2673594","2020-05-25 11:04:24","2020-05-25 11:35:47",NULL
69,1,"нос","nose",NULL,"nasus","A01.456.505.733",NULL,"http://www.wikidata.org/entity/Q7363","2020-05-25 11:04:24","2020-05-25 11:36:03",NULL
70,1,"скалп","scalp",NULL,NULL,"A01.456.810",NULL,"http://www.wikidata.org/entity/Q9622","2020-05-25 11:04:24","2020-05-25 11:36:28",NULL
71,1,"задна черепна ямка","posterior cranial fossa",NULL,"fossa cranii posterior","A01.456.830.200",NULL,"http://www.wikidata.org/entity/Q503944","2020-05-25 11:04:24","2020-05-25 11:36:57",NULL
72,1,"яремни форамени","jugular foramen",NULL,"foramen jugulare","A01.456.830.200.500",NULL,"http://www.wikidata.org/entity/Q767053","2020-05-25 11:04:24","2020-05-25 11:37:26",NULL
73,1,"инфратемпорална ямка","Infratemporal fossa",NULL,"fossa infratemporalis","A01.456.830.600",NULL,"http://www.wikidata.org/entity/Q2531753","2020-05-25 11:04:24","2020-05-25 11:37:59",NULL
74,NULL,"парафарингеално пространство","parapharyngeal space","","spatium peripharyngeum","A01.456.830.800","C1281212","http://www.wikidata.org/entity/Q7135649","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
75,1,"врат","neck",NULL,"collum","A01.598",NULL,"http://www.wikidata.org/entity/Q9633","2020-05-25 11:04:24","2020-05-25 11:54:08",NULL
76,1,"таз","pelvis",NULL,"pelvis","A01.673",NULL,"http://www.wikidata.org/entity/Q713102","2020-05-25 11:04:24","2020-06-04 22:44:17",NULL
77,NULL,"перинеум","perineum",NULL,"perineum","A01.719",NULL,"http://www.wikidata.org/entity/Q105499","2020-05-25 11:04:24","2020-06-04 22:48:07",NULL
78,1,"гръден кош","thorax",NULL,"thorax","A01.911","C0817096","http://www.wikidata.org/entity/Q592177","2020-05-25 11:04:24","2020-06-04 22:48:49",NULL
79,1,"плеврална кухина","pleural cavity",NULL,"cavitas pleuralis","A01.911.800.650","C0178802","http://www.wikidata.org/entity/Q192398","2020-05-25 11:04:24","2020-06-04 22:49:28",NULL
80,1,"ректо-маточна торбичка","recto-uterine pouch",NULL,"excavatio rectouterina","A01.923.047.025.600.225",NULL,"http://www.wikidata.org/entity/Q1251960","2020-05-25 11:04:24","2020-06-04 22:50:11",NULL
81,NULL,"mesocolon","mesocolon","","","A01.923.047.025.600.451.535","","http://www.wikidata.org/entity/Q1119809","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
82,1,"оментум","omentum",NULL,"omentum","A01.923.047.025.600.573",NULL,"http://www.wikidata.org/entity/Q1207493","2020-05-25 11:04:24","2020-06-04 22:52:25",NULL
83,NULL,"перитонеална кухина","peritoneal cavity","","cavitas peritonealis","A01.923.047.025.600.678","C1704247","http://www.wikidata.org/entity/Q1030169","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
84,NULL,"ретроперитонеално пространство","retroperitoneal space","retroperitoneum","spatium retroperitoneale","A01.923.047.025.750","C0035361","http://www.wikidata.org/entity/Q577238","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
85,NULL,"пъп","umbilicus","navel","umbilicus","A01.923.047.849","","http://www.wikidata.org/entity/Q43801","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
86,1,"гръб","back",NULL,"dorsum","A01.923.176",NULL,"http://www.wikidata.org/entity/Q133279","2020-05-25 11:04:24","2020-05-25 11:44:03",NULL
87,NULL,"лумбална област","lumbar region","lumbosacral region","regio lumbalis","A01.923.176.519","","http://www.wikidata.org/entity/Q1293405","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
88,NULL,"тазово дъно","pelvic floor","pelvic diaphragm","diaphragma pelvis","A01.923.600.600","","http://www.wikidata.org/entity/Q813683","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
89,NULL,"автогенен","autograft","Autografts","","A01.941.750","","http://www.wikidata.org/entity/Q67391721","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
90,NULL,"isograft","isograft","syngeneic graft","","A01.941.937","","http://www.wikidata.org/entity/Q3155507","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
91,NULL,"миофасциална задействаща точка","myofascial trigger point","trigger points","","A01.947","","http://www.wikidata.org/entity/Q1956673","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
92,NULL,"мускулно-скелетна система","human musculoskeletal system","locomotor system","","A02","C0026860","http://www.wikidata.org/entity/Q726543","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
93,NULL,"хрущял","cartilage","cartilaginous part of bone","pars cartilaginea","A02.165","","http://www.wikidata.org/entity/Q502730","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
94,NULL,"епиглотис","Deatholotisisis","Killer in 5 seconds in the moment u get it","epiglottis","A02.165.257.625.411","","http://www.wikidata.org/entity/Q235378","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
95,NULL,"щитовиден хрущял","thyroid cartilage","","cartilago thyroidea","A02.165.257.625.870","","http://www.wikidata.org/entity/Q171093","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
96,NULL,"междупрешленния диск","intervertebral disc","intervertebral fibrocartilage","discus intervertebralis","A02.165.308.410","","http://www.wikidata.org/entity/Q502781","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
97,2,"ставен хрущял","articular cartilage",NULL,NULL,"A02.165.407.150",NULL,"http://www.wikidata.org/entity/Q3704713","2020-05-25 11:04:24","2020-05-25 11:45:11",NULL
98,NULL,"хрущял на бобената глава","Cartilages of the beanhead","nasal cartilages","cartilagines nasi","A02.165.407.550","","http://www.wikidata.org/entity/Q12229608","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
99,NULL,"носна преграда","nasal septum","septum nasi","septum nasi","A02.165.407.600","","http://www.wikidata.org/entity/Q500634","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
100,NULL,"аритеноиден хрущял","arytenoid cartilage","","cartilago arytenoidea","A02.165.507.083","","http://www.wikidata.org/entity/Q1545154","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
101,NULL,"крикоиден хрущял","cricoid cartilage","BD Chaurasia","cartilago cricoidea","A02.165.507.211","","http://www.wikidata.org/entity/Q638244","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
102,NULL,"фасция","fascia","","Fascia","A02.340","","http://www.wikidata.org/entity/Q936531","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
103,NULL,"преден кръстосан лигамент","anterior cruciate ligament","cranial cruciate ligament","lig. cruciatum anterius","A02.513.514.100","","http://www.wikidata.org/entity/Q611127","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
104,NULL,"среден колатерален лигамент","medial collateral ligament","","lig. collaterale tibiale","A02.513.514.162.600","","http://www.wikidata.org/entity/Q3241072","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
105,NULL,"Ligamenta flava","Ligamenta flava","","ligg. flava","A02.513.514.287","","http://www.wikidata.org/entity/Q1468271","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
106,NULL,"пателарен лигамент","patellar ligament","subpatellar tendon","lig. patellae","A02.513.514.475","","http://www.wikidata.org/entity/Q1172095","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
107,NULL,"заден кръстосан лигамент","posterior cruciate ligament","","lig. cruciatum posterius","A02.513.514.600","","http://www.wikidata.org/entity/Q735353","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
108,NULL,"кръгъл лигамент","round ligament","round ligaments","","A02.513.901","","http://www.wikidata.org/entity/Q7371196","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
109,NULL,"мускул","muscle","","systema musculare","A02.633","","http://www.wikidata.org/entity/Q7365","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
110,NULL,"скелетен набразден мускул","skeletal striated muscle","striated voluntary muscle","","A02.633.567","","http://www.wikidata.org/entity/Q1048687","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
111,NULL,"Musculus rectus abdominis","rectus abdominis muscle","Rectus abdominis muscle","m. rectus abdominis","A02.633.567.050.800","","http://www.wikidata.org/entity/Q275150","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
112,NULL,"мускул на гърба","back muscles","back muscle","","A02.633.567.175","","http://www.wikidata.org/entity/Q70198382","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
113,NULL,"делтоиден мускул","deltoid muscle","delts","m. deltoideus","A02.633.567.300","","http://www.wikidata.org/entity/Q130243","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
114,NULL,"Мускули от мастика","Muscles of mastication","set of masticatory muscles","musculi masticatorii","A02.633.567.600","","http://www.wikidata.org/entity/Q286978","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
115,NULL,"птеригоидни мускули","pterygoid muscles","Pterygoid Muscle","","A02.633.567.600.700","","http://www.wikidata.org/entity/Q68549908","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
116,NULL,"Палатален мускул","Palatal muscle","palatal muscles","","A02.633.567.750","","http://www.wikidata.org/entity/Q7126769","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
117,NULL,"pectoryis major","pectoralis major","pecs","m. pectoralis major","A02.633.567.775","","http://www.wikidata.org/entity/Q532798","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
118,NULL,"Фарингеални мускули","Pharyngeal muscles","","tunica muscularis pharyngis","A02.633.567.800","","http://www.wikidata.org/entity/Q7180883","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
119,NULL,"псоас мускули","psoas muscles","psoas muscle","","A02.633.567.825","","http://www.wikidata.org/entity/Q68800232","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
120,NULL,"Musculus quadriceps femoris","quadriceps femoris muscle","quads","m. quadriceps femoris","A02.633.567.850","","http://www.wikidata.org/entity/Q504536","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
121,NULL,"гръдна диафрагма","thoracic diaphragm","respiratory diaphragm","diaphragma","A02.633.567.900.300","","http://www.wikidata.org/entity/Q9654","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
122,NULL,"интеркостален мускул","intercostal muscle","","","A02.633.567.900.500","","http://www.wikidata.org/entity/Q3302518","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
123,NULL,"Абонирайте се за яростни йети","Subscribe to furious yeti","smooth muscle","","A02.633.570","","http://www.wikidata.org/entity/Q208453","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
124,NULL,"туника медия","tunica media","media","tunica media","A02.633.570.491.800","C0162867","http://www.wikidata.org/entity/Q1740954","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
125,NULL,"миокард","myocardium","","myocardium","A02.633.580","C0027061","http://www.wikidata.org/entity/Q84133","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
126,NULL,"костен","bone","bone and bones","ossa","A02.835.232","","http://www.wikidata.org/entity/Q265868","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
127,NULL,"Ossa metatarsalia","metatarsal bones","metatarsal bone","ossa metatarsi","A02.835.232.043.300.492","C0025584","http://www.wikidata.org/entity/Q320524","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
128,NULL,"Тарзални кости","tarsal bones","Tarsals","ossa tarsi","A02.835.232.043.300.710","C0039316","http://www.wikidata.org/entity/Q1059724","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
129,NULL,"калканеуса","calcaneus","heel bone","calcaneus","A02.835.232.043.300.710.300","","http://www.wikidata.org/entity/Q13075","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
130,NULL,"сипей","talus","talus bone","talus","A02.835.232.043.300.710.780","","http://www.wikidata.org/entity/Q13100","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
131,NULL,"Кост на крака","Leg bone","","","A02.835.232.043.650","","http://www.wikidata.org/entity/Q26261881","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
132,NULL,"Femur","femur","thigh bone","os femoris","A02.835.232.043.650.247","","http://www.wikidata.org/entity/Q176503","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
133,NULL,"глава на бедрената кост","head of femur","femur head","caput femoris","A02.835.232.043.650.247.343","C0015813","http://www.wikidata.org/entity/Q582849","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
134,NULL,"шийка на бедрената кост","neck of femur","femur neck","collum femoris","A02.835.232.043.650.247.510","C0015815","http://www.wikidata.org/entity/Q4844892","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
135,NULL,"фибула","fibula","calf bone","YoGile","A02.835.232.043.650.321","","http://www.wikidata.org/entity/Q302896","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
136,NULL,"Patella","patella","kneepan","patella","A02.835.232.043.650.624","","http://www.wikidata.org/entity/Q229081","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
137,NULL,"Tibia","tibia","shinbone","tibia","A02.835.232.043.650.883","","http://www.wikidata.org/entity/Q178366","2020-05-25 11:04:24","2020-05-25 11:04:24",NULL
138,NULL,"ацетабулума","acetabulum","cotyloid cavity","acetabulum","A02.835.232.043.825.108","","http://www.wikidata.org/entity/Q1130461","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
139,NULL,"бедрена кост","hip bone","pelvic bones","os coxae","A02.835.232.043.825.434","C0030786","http://www.wikidata.org/entity/Q3356933","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
140,NULL,"раменна кост","humerus","humerus bone","humerus","A02.835.232.087.090.400","C0020164","http://www.wikidata.org/entity/Q162595","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
141,NULL,"радиус","radius","radial bone","radius","A02.835.232.087.090.700","C0034627","http://www.wikidata.org/entity/Q178492","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
142,NULL,"лакътната кост","ulna","ulna bone","ulna","A02.835.232.087.090.850","C0041600","http://www.wikidata.org/entity/Q199507","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
143,NULL,"карпална кост","carpal bone","carpals","ossa carpi","A02.835.232.087.144","C0007285","http://www.wikidata.org/entity/Q232377","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
144,NULL,"лунатна кост","lunate bone","","os lunatum","A02.835.232.087.144.663","","http://www.wikidata.org/entity/Q13141","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
145,NULL,"ключица","clavicle","collarbone","clavicula","A02.835.232.087.227","","http://www.wikidata.org/entity/Q16343","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
146,NULL,"главна кост","capitate bone","","os capitatum","A02.835.232.087.319.150.150","","http://www.wikidata.org/entity/Q752369","2020-05-25 11:04:24","2020-06-05 07:26:46",NULL
147,NULL,"хаматна кост","hamate bone","","os hamatum","A02.835.232.087.319.150.400","","http://www.wikidata.org/entity/Q54393","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
148,NULL,"писиформна кост","pisiform bone","pisiform","os pisiforme","A02.835.232.087.319.150.600","","http://www.wikidata.org/entity/Q691942","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
149,NULL,"скафоидна кост","scaphoid bone","navicular","os scaphoideum","A02.835.232.087.319.150.750","","http://www.wikidata.org/entity/Q13143","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
150,NULL,"трапец","trapezium","","os trapezium","A02.835.232.087.319.150.800","","http://www.wikidata.org/entity/Q265617","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
151,NULL,"трапецовидна кост","trapezoid bone","lesser multangular bone","os trapezoideum","A02.835.232.087.319.150.805","","http://www.wikidata.org/entity/Q847084","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
152,NULL,"трикетрална кост","triquetral bone","triquetrum","os triquetrum","A02.835.232.087.319.150.831","","http://www.wikidata.org/entity/Q278417","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
153,NULL,"метакарпални кости","metacarpal bones","metacarpal bone","ossa metacarpi","A02.835.232.087.319.550","C0025526","http://www.wikidata.org/entity/Q237229","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
154,NULL,"скапула","scapula","wing bone","scapula","A02.835.232.087.783","","http://www.wikidata.org/entity/Q16336","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
155,NULL,"диафазата","diaphysis","body of long bone","diaphysis","A02.835.232.169","","http://www.wikidata.org/entity/Q2353265","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
156,NULL,"кост","epiphysis","","epiphysis","A02.835.232.251","","http://www.wikidata.org/entity/Q1801229","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
157,NULL,"хиоидна кост","hyoid bone","Greater cornu","os hyoideum","A02.835.232.409","","http://www.wikidata.org/entity/Q16332","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
158,NULL,"слабинна кост","ilium","iliac bone","os ilium","A02.835.232.611.434","C0020889","http://www.wikidata.org/entity/Q728889","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
159,NULL,"ишиум","ischium","","os ischii","A02.835.232.611.548","C0022122","http://www.wikidata.org/entity/Q531029","2020-05-25 11:04:25","2020-06-05 07:26:46",NULL
