id,"organ","sentence",frequency
227,"бял дроб","Сукк. рен. - отр. двустр.",1
228,"кръвно налягане","RR-13080",7
229,"бял дроб","Pulmo - чисто везикуларно дишане Общо състояние - увредено",2
230,"бял дроб","Бял дроб;изострено везикуларно дишане без хрипове",5
231,"крайници","Крайници без отоци",3045
232,"бял дроб","Бял дроб и сърце б.о.Корем мек спокоен с нормална перисталтика",1
233,"корем","Корем мек небол",46
234,"ухо","Слух, коригиран.",4
235,"черен дроб","Черен дроб и слезка не се палпират",574
236,"око","Зрение коригирано.",79
237,"око","Зрение коригирано",24
238,"черен дроб","Черен дроб на 1см.под ребрена дъга. слезка не се палпират",1
239,"общо състояние","Умерено увредено общо състояние",73
240,"крайници","Крайници без отоци.",1640
241,"око","Зрение влошено",3
242,"бял дроб","Бял дроб;чисто везикуларно дишане без хрипове",1
243,"корем","Корем",98
244,"бял дроб","Бял дроб ;леко отслабено вез. Дишане без хрипове",1
245,"нервна система","Нервнопсихично развитие в норма",1
246,"око","Зрение влошен",2
247,"кожа","Кожа и видими лигавици: Нормални",644
248,"сърце","Сърдечно-съдова система: Ритмична сърдечна дейност",676
249,"млечна жлеза","Мл. Жл. Б. О..",1
250,"око","Зрение влошено.",8
251,"бял дроб","Изострено везикуларно дишане",11
252,"вена","Вени б. О.",2
253,"крайници","Долни крайници без застойни отоци",12
254,"бял дроб","Чисто везикуларно дишане",443
255,"око","Зрение",40
256,"бял дроб","леко отслабено везикуларно дишане",6
257,"млечна жлеза","Мл.жл.б.о.",2
258,"око","Зрение коригирано..",14
259,"лимфни възли","ПЛВ неувл",90
260,"бял дроб","Пулмо везик",214
261,"опорно-двигателен апарат","ОДА без деформации",126
262,"око","Цветоусещане в норма",31
263,"млечна жлеза","Мл. жлези б.о.Обучена за самост",2
264,"ухо","Слух запазен",42
265,"нервна система","НС б.о.",16
266,"бял дроб","Пулмо - везик",623
267,"лимфни възли","ПЛВ не се палпират увеличени",348
268,"опорно-двигателен апарат","ОДА без отоци",22
269,"ухо","Слух запазен.",3
270,"бял дроб","Пулмо отсл. везик",10
271,"бял дроб","Пулмо - отсл.везик",6
272,"опорно-двигателен апарат","ОДА симетр",1
273,"опорно-двигателен апарат","ОДА без дефомации",3
274,"бял дроб","Пулмо - отсл. везик",78
275,"бял дроб","Пулмо-везик",509
276,"опорно-двигателен апарат","ОДА б.о.",27
277,"лимфни възли","ПЛВ. неувл",1
278,"бял дроб","Пулмо - изострено везик",21
279,"бял дроб","Пулмо - изостр",19
280,"бял дроб","везик",455
281,"кожа","Кожа мургава",53
282,"нервна система","нервна с-ма- запазени физиологични рефлекси, без патологични рефлекси",34
283,"нервна система","нервна с-ма- запазени физиологични рефлекси, без патологични прояви за възраста",31
284,"общо състояние","Увредено състояние",22
285,"кръвно налягане","RR 135/90",16
286,"кръвно налягане","RR 140/80",108
287,"кръвно налягане","RR 135/80",48
288,"кръвно налягане","RR 110/70",43
289,"кръвно налягане","RR  150/70",9
290,"кръвно налягане","RR  130/80",29
291,"бял дроб","БЯЛ ДРОБ-ГРУБО ВЕЗИКУЛАРНО ДИШАНЕ",20
292,"сърце","СЪРЦЕ-ритмична сърдечна дейност ; ПУЛС-70",4
293,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Б.О",88
294,"корем","Корем-СА НА ПР.ЧЕРВО",1
295,"корем","Корем - не бол.",10
296,"крайници","Крайници - б.о.",204
297,"кръвно налягане","RR - 120/80",63
298,"крайници","Крайници - без.отоци",3
299,"корем","Корем - мек, неболезнен",125
300,"кръвно налягане","АН - 120/80",10
301,"гръден кош","гръден кош със леки емфизем",8
302,"крайници","Крайници без отоци и деформации",1
303,"кръвно налягане","RR140/80",111
304,"око","VOD-1.0",23
305,"сърце","КОР -Р.С.Д.",18
306,"кръвно налягане","RR 130/80",285
307,"кръвно налягане","RR  140/80",6
308,"кръвно налягане","RR  135/80",16
309,"кръвно налягане","RR  120/80",15
310,"нервна система","Нервнопсих",1
311,"кръвно налягане","RR  170/90",1
312,"кръвно налягане","RR 160/80",16
313,"кръвно налягане","RR 150/80",13
314,"кръвно налягане","RR 120/80",415
315,"кръвно налягане","АН-125/80",22
316,"кръвно налягане","rr120/80",256
317,"кръвно налягане","rr130/80",366
318,"кръвно налягане","rr111/70",1
319,"бял дроб","ДС-чисто везикуларно дишане",177
320,"черен дроб","Черен дроб: На 2 см. под ребрената дъга с гладка повърхност и остър ръб;",8
321,"кръвно налягане","rr100/60",10
322,"бял дроб","Пулмо-чисто везик",343
323,"бял дроб","ПУЛМО-ВЕЗ.ДИШАНЕ БЕЗ ХРИПОВЕ",78
324,"бял дроб","Пулмо-везикуларно дишане",526
325,"сърце","КОР-РСД",34
326,"общо състояние","СЪСТОЯНИЕ СЛЕД КВАНДРАНТЕКТОМИЯ.",1
327,"бял дроб","ПУЛМО-ГРУБО ВЕЗ.ДИШАНЕ ,ЕДИН.СУХИ ХРИПОВЕ В ОСНОВИТЕ",1
328,"кръвно налягане","АН-110/70",18
329,"кръвно налягане","RR 115/80",23
330,"кожа","Кожа и видими лигавици-розови",709
331,"око","VOD-1.0       VOS-1.0        цветоусещане-норм.",1
332,"корем","Корем -мек,спокоен",14
333,"корем","Корем- мек, спокоен",2
334,"лимфни възли","ПЛВ- не се палпират увеличени.",5
335,"бял дроб","Пулмо- везикуларно дишане",173
336,"корем","Корем-мек,спокоен",402
337,"черен дроб","Черен дроб и слезка не се палпират увеличени",614
338,"крайници","Крайници-запазени пулсациии сетивност .Координация и двигателни функции-норма",4
339,"кожа","Кожа чиста с иктер",3
340,"черен дроб","Черен дроб-на около 5-6 см под ребрената дъга,болезнен при палпация",13
341,"сърце","Ритмична сърдечна дейност",593
342,"кръвно налягане","RR 140/90",112
343,"черен дроб","Черен дроб и слезка неувеличени",322
344,"бял дроб","дишане, без прибавени хрипове",137
345,"крайници","Крайници-запазени пулсациии сетивност.",4
346,"общо състояние","-Добро общо състояние",1
347,"гърло","Гърло спокойно",632
348,"черен дроб","Черен дроб ислезка в норма",1
349,"сърце","Cor -рит. сърд. д-ст без шумовe",2
350,"млечна жлеза","Мл. жл.-б.о.Периф",12
351,"опорно-двигателен апарат","ОДА- запазени дв. в ставите",30
352,"сърце","ССС - ритмична сърдечна дейност",417
353,"кръвно налягане","АН-140/90",21
354,"бял дроб","Пулмо- б.о.",1
355,"вена","вени-без видими",1
356,"крайници","Крайници-б.о.",873
357,"крайници","Крайници-оток на коляното",1
358,"бъбрек","Сук. рен.(-) двустр",7
359,"млечна жлеза","Мл. жл.-б.о. Периф",1
360,"опорно-двигателен апарат","ОДА- крайници - без отоци, запаз",16
361,"щитовидна жлеза","Щит.жлеза не е увеличена",268
362,"лимфни възли","ПЛВ-неувеличени",888
363,"опорно-двигателен апарат","ОДА-без патологични изменения",32
364,"щитовидна жлеза","Щитовидна жлеза -неувеличена",42
365,"ухо","Слух-   над  6м",19
366,"общо състояние","Задоволително състояние",161
367,"бял дроб","Дишане-чисто везикуларно",29
368,"бял дроб","ДС-вез.дишане без хрипове",153
369,"корем","Корем-мек,небол",250
370,"вена","вени-неразш",9
371,"корем","Корем-мек,неболезнен",1771
372,"гърло","Гърло хиперемиран фаринкс",1
373,"общо състояние","В добро общо състояние,афебрилна",4
374,"щитовидна жлеза","Щитовидна жлеза - в момента неувеличена",3
375,"щитовидна жлеза","Щит.жлеза оперативен цикатрикс",1
376,"общо състояние","В добро общо състояние,афебрилен",7
377,"опорно-двигателен апарат","ОДА-с артрозни  изменения",1
378,"бял дроб","Пулмо",186
379,"бял дроб","везикуларно дишане,без хрипове",111
380,"корем","Корем-спокоен",311
381,"бял дроб","Пулмо:  везикуларно дишане без хрипове",144
382,"сърце","Кор-аритмична сърдечна дейност,ясни тонове",1
383,"вена","вени-не раширени",1
384,"общо състояние","Мъж в добро общо състояние",9
385,"око","VOD1.0",5
386,"бял дроб","дишане без хрипове",1236
387,"гърди","Гърди еднакви,не се палпират ТУ образувания,без секреция",2
388,"око","VOD0.4",1
389,"бял дроб","Пулмо-отсл.везик",7
390,"бъбрек","отр(-)сукусио",6
391,"око","VOD0.8",2
392,"око","VOD0.6",3
393,"бял дроб","изострено везик",7
394,"око","VOD0.7",4
395,"гърди","Гърди-дясна мастектомия,в ляво не се палпират ТУ образувания",1
396,"лимфни възли","ПЛВ не увеличени",134
397,"крайници","Крайници без отоци със задоволителни пулсации",2
398,"око","VOD0.5",1
399,"гърди","Гърди-дясна мамектомия,в ляво не се палпират ТУ образувания,без секреция",1
400,"пулс","ПУЛС-96",42
401,"кръвно налягане","АН:130/80",34
402,"кръвно налягане","RR-155/85",26
403,"кръвно налягане","RR-125/85",294
404,"специален статус","СПЕЦ.СТАТУС-Без данни за диабетно стъпало",194
405,"бял дроб","БЯЛ ДРОБ-везикуларно дишане със затр.издъх",1
406,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-без отоци",810
407,"кръвно налягане","RR-170/90",68
408,"пулс","ПУЛС-66",460
409,"кръвно налягане","RR-165/85",14
410,"кръвно налягане","RR-145/90",151
411,"специален статус","СПЕЦ.СТАТУС-левостр",7
412,"лимфни възли","ПЛВ и щитов",25
413,"бял дроб","Бял дроб-везикуларно дишане ,без патологична находка",7
414,"сърце","Сърце-РСД,ясни сърдечни тонове",8
415,"бъбрек","Succ.ren-\"-\"отр.двустранно",7
416,"опорно-двигателен апарат","ОДА-без отоци,запазени периферни пулсации",7
417,"сърце","Cor - R.R.80/60",6
418,"сърце","Cor - R.R.90/60",1
419,"кръвно налягане","RR-160/85",7
420,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-леки отоци",13
421,"кръвно налягане","RR-150/75",8
422,"кожа","КОЖА-Бледовата",74
423,"език","ЕЗИК-влажен.,необложен",18
424,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Отслабени пулсаций на а. тибиалис постериор, а дорзалис педис, а. поплитеа, а. феморалис",11
425,"пулс","ПУЛС-76",789
426,"кожа","КОЖА-Влажна ,изпотена",56
427,"език","ЕЗИК-Влажен, обложен",78
428,"пулс","ПУЛС-84",160
429,"специален статус","СПЕЦ.СТАТУС-.",191
430,"кръвно налягане","RR-150/85",60
431,"кръвно налягане","RR-145/80",137
432,"език","ЕЗИК-влажен обложен",287
433,"сърце","СЪРЦЕ-Ритмична , тахикардична сърдечна дейност",87
434,"око","НАМАЛЕНО ЗРЕНИЕ",5
435,"бял дроб","Гръден кош и бял дроб-симетричен,ясен перк.тон,везик",1
436,"сърце","Сърце-РСД,нормофреквентна сърд.дейност",1
437,"опорно-двигателен апарат","ОДА-без.патол",1
438,"бъбрек","Сук.рен.\"-\"отр.двустр",1
439,"око","Цветоусещане-нормално",165
440,"бял дроб","БЯЛ ДРОБ-везикуларно дишане СЪС ХРИПОВЕ ПО ДВЕТЕ БЕЛ.ПОЛОВИНИ",1
441,"корем","Мек корем",10
442,"черен дроб","Черен дроб и далак не се палпират",156
443,"сърце","СЪРЦЕ-ритмична сърд. дейност",39
444,"сърце","СЪРЦЕ-аритмична сърд. дейност",8
445,"крайници","Без отоци по крайници",20
446,"общо състояние","Добро състояние",37
447,"лимфни възли","ПЛВ и щ.жлеза-неувеличени",8
448,"бъбрек","Сук.Рен.(-)двустр",8
449,"бял дроб","Пулмо-везикуларно дишане,без хрипова находка",12
450,"лимфни възли","ПЛВ-неуголемени",120
451,"кръвно налягане","АН150/90",6
452,"крайници","Крайници-без отоци,запазени артериални пулсации.",4
453,"кръвно налягане","АН130/80",175
454,"кръвно налягане","АН120/80",62
455,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-НЕУГОЛЕМЕНА",8
456,"бял дроб","Пулмо-Ослабено вез дишане",1
457,"корем","Корем-б.о",55
458,"крайници","Крайници-",20
459,"бял дроб","Пулмо-ЧВД",25
460,"език","Език - влажен,необложен",80
461,"черен дроб","Черен дроб и слезка-неувеличени",749
462,"крайници","Крайници б.о.",372
463,"бял дроб","Пулмо-грубо везик",62
464,"гърло","Гърло-хиперемирано",207
465,"сърце","Cor - р.с.д.",300
466,"сърце","Cor - р. с. д.",7
467,"кръвно налягане","RR160 100",5
468,"кръвно налягане","RR140 80",1
469,"кръвно налягане","RR150 100",1
470,"бял дроб","Пулмо везикуларно дишане .",43
471,"лимфни възли","ПЛВ.не се палпират уголемени",1
472,"бял дроб","Везикуларно дишане без прибавени хрипове",464
473,"корем","Корем-мек,спокоен,без данни за органомегалия",14
474,"сърце","Кор РСД.RR14090",1
475,"корем","Корем б.о.",18
476,"бъбрек","Сук.рен.пол .двустранно",8
477,"кръвно налягане","RR14080",3
478,"корем","КОРЕМ-мек спокоен",328
479,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-болезнени ограничени движения",2
480,"гърло","ГЪРЛО И ТОНЗИЛИ-чисто",2
481,"ухо","СЛУХ-в норма, долавя шепот",2
482,"сърце","СЪРЦЕ-ритмична сърдечна дейност ясни тонове",425
483,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-добре развит дез патолог",17
484,"бял дроб","БЯЛ ДРОБ-грубо дишане с множество хрипчета",1
485,"сърце","СЪРЦЕ-тахиаритмия",1
486,"сърце","Cor - р.с.д., fr76. , RR 14080",16
487,"бял дроб","Пулмо- везикуларно дишане без хрипове",179
488,"крайници","Крайници- без отоци,Ромберг /+/",1
489,"лимфни възли","ПЛВ- неувеличени",175
490,"млечна жлеза","Мл. жлези-нормални",7
491,"корем","Корем- мек,неболезнен",95
492,"око","Зрение-ДО=1.0",12
493,"крайници","Крайници- без отоциРомберг/+/",4
494,"кръвно налягане","RR - 120  70.",1
495,"общо състояние","Добро общо състяние",3
496,"бял дроб","Двустрано везикуларно дишане без хрипове",1
497,"щитовидна жлеза","Щитовидна жлеза-не се вижда и не се палпира",169
498,"кръвно налягане","RR - 14085",2
499,"общо състояние","Влошено общо състояние",31
500,"черен дроб","Черен дроб-палпира се на два пръста по ДРД.",12
501,"бъбрек","Сук.рен.+ .в дясноляво.",1
502,"нервна система","Неврологичен статус-б.о.",30
503,"кожа","Кожа и лигавици бледи",68
504,"сърце","Cor - р.с.д., fr79. , RR 148 86",3
505,"бял дроб","Пулмо- вез. дишане без хрипове",49
506,"сърце","Cor - р.с.д., fr70",8
507,"кожа","Кожа и вид лиг-бледи",3
508,"общо състояние","Увредено общо състояние.",29
509,"кожа","КОЖА-матова",88
510,"език","ЕЗИК-влажен,необложен",1520
511,"гърло","ГЪРЛО-не се установяват патолог",668
